token_name,blockchain,aum,daily_yield_pct,date
BUIDL-I,ethereum,"964,402,374.89",0.000095758,2026-08-07
BUIDL,solana,"712,215,216.68",0.000094935,2026-08-07
BUIDL,avalanche,"631,330,340.00",0.000094942,2026-08-07
BUIDL,ethereum,"224,907,312.84",0.000086719,2026-08-07
BUIDL,bnb,"110,840,112.98",0.000095486,2026-08-07
BUIDL,optimism,"26,346,022.24",0.000086722,2026-08-07
BUIDL,tempo,"17,013,008.33",0.000094934,2026-08-07
BUIDL,aptos,"16,158,427.34",0.000094941,2026-08-07
BUIDL,polygon,"13,465,964.74",0.000094939,2026-08-07
BUIDL,arbitrum,"8,536,423.06",0.000086741,2026-08-07
BUIDL-I,ethereum,"964,309,730.46",0.000096177,2026-08-06
BUIDL,solana,"697,094,946.88",0.000095354,2026-08-06
BUIDL,avalanche,"631,270,141.44",0.000095361,2026-08-06
BUIDL,ethereum,"224,887,716.58",0.000087138,2026-08-06
BUIDL,bnb,"110,829,383.89",0.000095905,2026-08-06
BUIDL,optimism,"26,343,726.65",0.000087140,2026-08-06
BUIDL,arbitrum,"21,784,306.85",0.000087143,2026-08-06
BUIDL,tempo,"17,011,386.24",0.000095353,2026-08-06
BUIDL,aptos,"16,156,886.62",0.000095360,2026-08-06
BUIDL,polygon,"13,464,680.76",0.000095359,2026-08-06
BUIDL-I,ethereum,"964,216,626.66",0.000096559,2026-08-05
BUIDL,solana,"685,509,326.96",0.000095736,2026-08-05
BUIDL,avalanche,"631,209,707.53",0.000095743,2026-08-05
BUIDL,ethereum,"224,868,036.14",0.000087520,2026-08-05
BUIDL,bnb,"110,818,713.38",0.000096288,2026-08-05
BUIDL,optimism,"26,341,421.17",0.000087523,2026-08-05
BUIDL,arbitrum,"24,282,181.55",0.000087525,2026-08-05
BUIDL,tempo,"17,009,757.81",0.000095735,2026-08-05
BUIDL,aptos,"16,155,339.88",0.000095742,2026-08-05
BUIDL,polygon,"13,463,391.76",0.000095741,2026-08-05
BUIDL-I,ethereum,"964,123,531.86",0.000096559,2026-08-04
BUIDL,solana,"676,494,654.04",0.000095736,2026-08-04
BUIDL,avalanche,"631,149,279.39",0.000095743,2026-08-04
BUIDL,ethereum,"224,848,357.43",0.000087520,2026-08-04
BUIDL,bnb,"110,808,044.01",0.000096287,2026-08-04
BUIDL,optimism,"26,339,115.92",0.000087522,2026-08-04
BUIDL,arbitrum,"24,530,034.56",0.000087525,2026-08-04
BUIDL,tempo,"17,008,129.55",0.000095734,2026-08-04
